Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,ILNP,Eclipse (H),Multi,"Duochrome, Holo",https://www.ilnp.com/nail-polish/eclipse-h/,,,
,ILNP,Hush (H),Teal,"Holo, Duochrome",https://www.ilnp.com/nail-polish/hush-h/,,,
,ILNP,Juliette,Gold,"Glitter, Holo Glitter",http://www.thepolishedperspective.com/2016/01/ilnp-juliette.html,,,
,ILNP,Prancer,Beige,Holo,https://www.ilnp.com/nail-polish/prancer/,,,
,ILNP,Revival,Multi,Holo,https://www.ilnp.com/holographics-and-ultra-holos/revival/,2,A+,gorgeous 
,ILNP,Rock Bottom,Brown,Holo,https://www.ilnp.com/holographics-and-ultra-holos/rock-bottom/,,,
,Jade Diamond,Velvet,Purple,"Duochrome, Glass Fleck",http://www.fashionpolish.com/2012/11/jade-diamond-collection-review.html,,,
,Joss,Desert Sunset,Orange,"Scattered Holo, Glass Fleck",http://www.plumpandpolished.com/2014/03/joss-desert-sunset.html,,,
,KBShimmer,Bahama Drama,Orange,Neon,https://curbappealnails.blogspot.com/2015/07/kbshimmer-bahama-drama-mdu-gold-floral-stamping.html,3,C,"patchy on toes, but may just need some thinner"
,KBShimmer,Berry Chill,Purple,"Shimmer, Holo Flakie",https://www.kbshimmer.com/berry-chill-nail-polish/,,,
,KBShimmer,Dawn To Earth,Purple,"Shimmer, Jelly, Shifty",https://www.kbshimmer.com/dawn-to-earth-nail-polish/,2,A,"gorgeous shifts, easy application, long lasting"
,KBShimmer,Drawn To You (R),Blue,"Shimmer, Shifty, Reflective Glitter",https://www.kbshimmer.com/drawn-to-you-reflective-nail-polish/,,,
,KBShimmer,Lilac Dreams,Purple,"Glitter, Shimmer, Duochrome",https://curbappealnails.blogspot.com/2014/08/chevron-nail-art-with-zoya-valerie-and.html,,,
,KBShimmer,Love You Brunches (R),Purple,"Shimmer, Shifty, Reflective Glitter",https://www.kbshimmer.com/love-you-brunches-reflective-nail-polish/,2,A,needs 2-3 top coats
,KBShimmer,Novel Idea (R),Purple,"Shimmer, Shifty, Reflective Glitter",https://www.kbshimmer.com/novel-idea-reflective-nail-polish/,,,
,KBShimmer,Of Quartz (R),Pink,"Shimmer, Shifty, Reflective Glitter",https://www.kbshimmer.com/of-quartz-reflective-nail-polish/,2,A,needs 2-3 layers of top coat
,KBShimmer,Peak My Interest,Pink,"Chunky Glitter, Crelly",https://curbappealnails.blogspot.com/2015/08/kbshimmer-peak-my-interest-swatches.html,,,
,KBShimmer,Pink-a Colada,Pink,"Chunky Glitter, Holo Glitter, Crelly",https://curbappealnails.blogspot.com/search?q=Pink-a+Colada,,,
,KBShimmer,Shell Shock,Beige,"Chunky Glitter, Holo Glitter, Crelly",http://www.manicurator.com/2015/05/kbshimmer-summer-2015-collection-part-2.html,,,
,KBShimmer,Such A Vlad-Ass,Red,Creme,https://www.instagram.com/p/9R2wnwB1mY/,,,
